season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2018,5,2,60,60.0,181.81,1,6,0,0,36*,0,7,23.85,9.54,15.0,5/27,36,1,5,27,252,0,5.91853633132337,3.9170283224193962,5.442693262384273,6.2741,Good,117,48,280,147,0,0,12,12
2019,2,2,0,0.0,0.0,0,0,0,0,0*,0,2,38.5,9.62,24.0,5/27,0,1,5,27,252,0,0.0,1.2035649963324075,5.442693262384273,1.625,Poor,117,48,280,147,0,0,12,12
2020,5,2,21,10.5,87.5,2,0,0,0,16,0,3,44.66,8.93,30.0,5/27,16,0,5,27,252,0,1.5158388883980354,1.5634417189165462,5.442693262384273,2.4679,Poor,117,48,280,147,0,0,12,12
2021,15,8,59,14.75,128.26,6,2,0,0,31,0,32,14.34,8.14,10.56,5/27,31,0,5,27,252,0,3.5235037927633117,9.329229970546555,5.442693262384273,6.9175,Good,117,48,280,147,0,0,12,12
2022,15,8,43,8.6,110.25,4,2,0,0,11,2,19,21.57,7.66,16.89,34/4,11,0,34,4,252,0,2.291452369949056,7.04015950733239,5.442693262384273,4.6765,Average,117,48,280,147,0,0,12,12
2023,13,2,6,3.0,100.0,0,1,0,0,6,2,14,32.42,9.65,20.14,32/3,6,0,32,3,252,0,0.23343484302292855,4.739141989591448,5.442693262384273,2.7628,Below Average,117,48,280,147,0,0,12,12
2024,14,4,13,4.33,68.42,1,1,0,0,12,5,24,19.87,9.73,12.25,15/3,12,0,15,3,252,0,0.45949291796134156,7.2369395392837745,5.442693262384273,3.6458,Below Average,117,48,280,147,0,0,12,12
2025,13,4,21,10.5,80.76,0,0,0,0,12*,3,16,26.87,9.8,16.43,28/4,12,1,28,4,252,0,1.442407768821077,5.454238888660337,5.442693262384273,3.6864,Below Average,117,48,280,147,0,0,12,12
2026,5,3,10,3.33,111.11,2,0,0,0,6,0,0,0.0,0.0,0.0,,6,0,0,0,252,0,0.44399247501981287,0.0,5.442693262384273,1.5229,Poor,117,48,280,147,0,0,12,12
2022,2,2,2,2.0,100.0,0,0,0,0,2,0,1,51.0,10.2,30.0,24/1,2,0,24,1,253,0,0.0553153012051216,0.49011037267893637,3.926359312985004,0.6308,Poor,15,9,59,16,0,0,6,2
2025,13,7,57,14.25,107.54,5,3,0,0,34,6,15,29.86,10.18,17.6,25/3,34,0,25,3,253,0,3.209584652260304,4.9638666323511025,3.926359312985004,4.0406,Average,15,9,59,16,0,0,6,2
2016,6,6,157,26.16,131.93,20,4,1,0,96,0,0,0.0,0.0,0.0,,96,0,0,0,254,0,5.656521959564343,0.0,4.895172987968852,4.2033,Average,16,16,577,0,3,2,0,2
2017,10,10,420,60.0,145.83,40,17,2,2,104*,0,0,0.0,0.0,0.0,,104,1,0,0,254,0,8.33440306674275,0.0,4.895172987968852,6.0258,Good,16,16,577,0,3,2,0,2
2018,4,4,57,19.0,121.27,5,1,0,0,32,0,0,0.0,0.0,0.0,,32,0,0,0,255,0,3.7354084524991227,0.0,5.6878598467373465,3.1316,Below Average,63,60,2104,0,13,2,31,6
2019,3,2,9,4.5,90.0,0,0,0,0,6,0,0,0.0,0.0,0.0,,6,0,0,0,255,0,0.438322861371248,0.0,5.6878598467373465,1.5931,Poor,63,60,2104,0,13,2,31,6
2023,12,11,448,49.78,177.07,32,25,2,1,104,3,0,0.0,0.0,0.0,,104,0,0,0,255,0,8.435557589907894,0.0,5.6878598467373465,6.7483,Good,63,60,2104,0,13,2,31,6
2024,16,15,479,39.92,171.07,19,38,4,0,80*,8,0,0.0,0.0,0.0,,80,1,0,0,255,0,8.170723750474641,0.0,5.6878598467373465,6.5311,Good,63,60,2104,0,13,2,31,6
2025,13,13,487,44.27,172.69,42,25,1,1,105*,7,0,0.0,0.0,0.0,,105,1,0,0,255,0,8.35272855500569,0.0,5.6878598467373465,6.6958,Good,63,60,2104,0,13,2,31,6
2026,15,15,624,48.0,160.0,48,31,6,0,69,13,0,0.0,0.0,0.0,,69,0,0,0,255,0,8.70793873248627,0.0,5.6878598467373465,6.9739,Good,63,60,2104,0,13,2,31,6
2008,9,9,167,18.55,109.15,17,8,0,0,47,0,0,0.0,0.0,0.0,,47,0,0,0,256,0,5.00676431063016,0.0,5.899912522117752,4.2815,Average,36,36,886,0,6,0,0,4
2009,14,14,371,33.72,112.08,32,12,4,0,69*,0,0,0.0,0.0,0.0,,69,1,0,0,256,0,6.981663175818821,0.0,5.899912522117752,5.595,Good,36,36,886,0,6,0,0,4
2010,10,10,267,26.7,113.61,26,9,1,0,50,0,0,0.0,0.0,0.0,,50,0,0,0,256,0,6.214910526154984,0.0,5.899912522117752,4.9451,Average,36,36,886,0,6,0,0,4
2012,3,3,81,40.5,92.04,8,2,1,0,66*,0,0,0.0,0.0,0.0,,66,1,0,0,256,0,4.851942158500321,0.0,5.899912522117752,4.0315,Average,36,36,886,0,6,0,0,4
2026,6,5,92,30.67,133.33,5,5,0,0,40*,1,0,0.0,0.0,0.0,,40,1,0,0,257,0,5.153163051357358,0.0,7.151699256297347,4.9146,Average,6,5,92,0,0,0,1,1
2022,5,3,43,21.5,89.58,5,0,0,0,25,2,2,63.5,8.46,45.0,47/2,25,0,47,2,258,0,3.1423393923709826,0.8821767461482446,5.555791583081032,3.3029,Below Average,13,6,66,5,0,0,5,2
2023,8,3,23,23.0,135.29,4,0,0,0,18*,3,3,62.33,9.84,38.0,34/2,18,1,34,2,258,0,2.960142630945979,1.1099431535746564,5.555791583081032,3.137,Below Average,13,6,66,5,0,0,5,2
2014,6,2,8,4.0,80.0,2,0,0,0,4,0,9,19.0,8.2,13.88,4/12,4,0,4,12,259,0,0.3214661331882567,5.333697476631034,4.7979042592642465,2.5846,Below Average,41,8,33,54,0,0,0,6
2015,10,2,5,5.0,83.33,0,0,0,0,3*,0,15,20.93,8.84,14.2,4/12,3,1,4,12,259,0,0.26688950513480386,6.157612386862007,4.7979042592642465,2.8475,Below Average,41,8,33,54,0,0,0,6
2016,4,1,5,5.0,71.42,1,0,0,0,5,0,5,27.6,8.62,19.2,4/12,5,0,4,12,259,0,0.23170070859471062,3.1551601186267693,4.7979042592642465,2.0212,Poor,41,8,33,54,0,0,0,6
2017,12,1,0,0.0,0.0,0,0,0,0,0*,0,18,20.5,7.85,15.66,4/12,0,1,4,12,259,0,0.0,6.969229310644978,4.7979042592642465,3.0224,Below Average,41,8,33,54,0,0,0,6
2018,6,1,2,0.0,100.0,0,0,0,0,2*,0,6,31.33,9.09,20.66,4/12,2,1,4,12,259,0,0.0,3.1598297848549572,4.7979042592642465,1.9574,Poor,41,8,33,54,0,0,0,6
2020,3,1,13,0.0,130.0,2,0,0,0,13*,0,1,76.0,6.9,66.0,4/12,13,1,4,12,259,0,0.0,0.48650840625697217,4.7979042592642465,1.0022,Poor,41,8,33,54,0,0,0,6
2008,1,1,1,0.0,50.0,0,0,0,0,1*,0,0,0.0,0.0,0.0,,1,1,0,0,260,0,0.0,0.0,4.227120645002212,0.6024,Poor,36,10,86,35,0,0,0,6
2011,15,2,15,0.0,125.0,1,0,0,0,12*,0,16,19.06,6.1,18.75,3/24,12,1,3,24,260,0,0.0,7.503837672161496,4.227120645002212,3.112,Below Average,36,10,86,35,0,0,0,6
2013,5,2,8,0.0,57.14,0,0,0,0,6*,0,7,20.28,7.53,16.14,3/24,6,1,3,24,260,0,0.0,4.794068799512399,4.227120645002212,2.2228,Poor,36,10,86,35,0,0,0,6
2015,5,2,20,10.0,111.11,4,0,0,0,20,0,4,37.5,7.89,28.5,3/24,20,0,3,24,260,0,1.6502112552799542,2.383903562914828,4.227120645002212,2.3609,Poor,36,10,86,35,0,0,0,6
2016,8,2,37,0.0,137.03,4,1,0,0,33*,0,6,35.5,8.52,25.0,3/24,33,1,3,24,260,0,0.0,3.047151630537842,4.227120645002212,1.7756,Poor,36,10,86,35,0,0,0,6
2017,2,1,5,0.0,71.42,0,0,0,0,5*,0,2,27.5,11.0,15.0,3/24,5,1,3,24,260,0,0.0,1.4146616501933553,4.227120645002212,0.9613,Poor,36,10,86,35,0,0,0,6
2008,14,10,131,21.83,112.93,9,6,0,0,40,0,15,23.33,6.6,21.2,3/24,40,0,3,24,261,0,4.943881094323283,6.617722117929812,6.092064582731288,7.1694,Very Good,103,82,1139,80,1,0,0,9
2009,14,12,196,19.6,124.05,17,6,0,0,39,0,17,22.94,7.74,17.76,3/24,39,0,3,24,261,0,5.478901501255163,6.573996675011163,6.092064582731288,7.679,Very Good,103,82,1139,80,1,0,0,9
2010,14,13,276,34.5,148.38,21,10,1,0,60,0,15,28.4,9.19,18.53,3/24,60,0,3,24,261,0,6.992349201957138,5.321568905511897,6.092064582731288,8.2356,Very Good,103,82,1139,80,1,0,0,9
2011,14,12,150,18.75,108.69,12,6,0,0,44*,0,11,31.27,7.5,25.0,3/24,44,1,3,24,261,0,4.868811114042407,4.846698560611753,6.092064582731288,6.3167,Good,103,82,1139,80,1,0,0,9
2012,17,12,176,25.14,139.68,14,6,0,0,42*,0,8,58.12,7.75,45.0,3/24,42,1,3,24,261,0,5.8389002408491315,2.8460795677107695,6.092064582731288,6.0506,Good,103,82,1139,80,1,0,0,9
2013,15,13,142,17.75,93.42,9,3,0,0,24,0,10,38.2,7.44,30.8,3/24,24,0,3,24,261,0,4.513953576789433,4.203979766418814,6.092064582731288,5.8463,Good,103,82,1139,80,1,0,0,9
