season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier
2016,1,1,5,0.0,125.0,0,0,0,0,5*,0,0,0.0,0.0,0.0,,5,1,0,0,178,0
2023,3,3,21,21.0,190.9,0,3,0,0,12*,3,0,0.0,0.0,0.0,,12,1,0,0,178,0
2018,0,0,0,0.0,0.0,0,0,0,0,0,0,2,47.5,9.5,30.0,1/24,0,0,1,24,179,1
2022,4,2,18,9.0,60.0,3,0,0,0,18,1,1,72.0,6.54,66.0,29/1,18,0,29,1,179,0
2023,4,3,35,0.0,109.37,4,0,0,0,20*,1,3,35.0,7.0,30.0,16/2,20,1,16,2,179,0
2011,6,6,92,15.33,104.54,10,4,0,0,32,0,0,0.0,0.0,0.0,,32,0,0,0,180,0
2021,1,1,26,26.0,100.0,1,1,0,0,26,0,0,0.0,0.0,0.0,,26,0,0,0,181,0
2008,6,6,103,17.16,109.57,9,5,0,0,31,0,0,0.0,0.0,0.0,,31,0,0,0,182,0
2012,15,10,126,42.0,135.48,9,6,0,0,35*,0,0,0.0,0.0,0.0,,35,1,0,0,182,0
2013,10,6,75,15.0,101.35,5,5,0,0,23,0,0,0.0,0.0,0.0,,23,0,0,0,182,0
2017,3,1,14,14.0,233.33,0,2,0,0,14,0,1,74.0,10.57,42.0,4/13,14,0,4,13,183,0
2018,12,4,50,16.66,172.41,1,4,0,0,39,0,10,27.8,7.28,22.9,4/13,39,0,4,13,183,0
2019,17,2,7,3.5,77.77,1,0,0,0,7,0,22,21.9,7.47,17.59,4/13,7,0,4,13,183,0
2020,14,3,7,7.0,58.33,0,0,0,0,5*,0,12,33.0,7.61,26.0,4/13,5,1,4,13,183,0
2021,15,2,1,0.0,100.0,0,0,0,0,1*,0,14,32.21,8.35,23.14,4/13,1,1,4,13,183,0
2023,10,1,1,0.0,50.0,0,0,0,0,1*,1,13,22.84,8.73,15.69,22/3,1,1,22,3,183,0
2024,0,0,0,0.0,0.0,0,0,0,0,0,0,5,40.4,8.59,28.2,28/2,0,0,28,2,183,1
2025,14,4,37,37.0,148.0,3,2,0,0,28*,2,11,34.18,9.17,22.36,12/2,28,1,12,2,183,0
2026,8,4,25,12.5,131.57,3,1,0,0,10,1,8,33.12,10.39,19.12,33/2,10,0,33,2,183,0
2015,14,9,151,16.77,158.94,6,11,1,0,54,0,1,129.0,8.5,91.0,2/16,54,0,2,16,184,0
2016,17,15,144,10.28,119.0,9,5,0,0,34,0,3,32.33,7.46,26.0,2/16,34,0,2,16,184,0
2017,10,6,78,26.0,150.0,5,4,0,0,19*,0,2,21.0,10.5,12.0,2/16,19,1,2,16,184,0
2018,9,8,87,21.75,107.4,2,3,0,0,32*,0,0,0.0,0.0,0.0,,32,1,0,0,184,0
2019,11,7,64,10.66,101.58,5,1,0,0,20,0,1,21.0,10.5,12.0,2/16,20,0,2,16,184,0
2020,7,5,101,101.0,142.25,5,5,1,0,62*,0,0,0.0,0.0,0.0,,62,1,0,0,184,0
2021,12,11,160,16.0,130.08,9,9,1,0,64,0,2,68.0,8.5,48.0,2/16,64,0,2,16,184,0
2022,15,14,451,32.21,136.66,36,18,4,0,59,8,1,43.0,10.75,24.0,31/1,59,0,31,1,184,0
2023,12,12,84,7.64,93.33,3,2,0,0,17,10,0,0.0,0.0,0.0,,17,0,0,0,184,0
2024,11,9,145,18.13,138.09,16,3,1,0,50,4,0,0.0,0.0,0.0,,50,0,0,0,184,0
2025,7,5,31,6.2,75.6,2,1,0,0,22,3,0,0.0,0.0,0.0,,22,0,0,0,184,0
2020,15,15,473,31.53,124.8,51,8,5,0,74,0,0,0.0,0.0,0.0,,74,0,0,0,185,0
2021,14,14,411,31.61,125.3,44,14,1,1,101*,0,0,0.0,0.0,0.0,,101,1,0,0,185,0
2022,17,17,376,22.12,122.87,40,14,1,0,54,5,0,0.0,0.0,0.0,,54,0,0,0,185,0
2023,11,11,261,26.1,130.5,31,6,2,0,52,4,0,0.0,0.0,0.0,,52,0,0,0,185,0
2024,7,7,38,5.43,71.69,3,0,0,0,13,4,0,0.0,0.0,0.0,,13,0,0,0,185,0
2025,10,10,247,27.44,150.6,21,14,2,0,61,1,0,0.0,0.0,0.0,,61,0,0,0,185,0
2026,16,15,464,33.14,168.72,49,24,3,0,61,13,0,0.0,0.0,0.0,,61,0,0,0,185,0
2022,7,7,252,42.0,145.66,22,12,3,0,87,2,0,0.0,0.0,0.0,,87,0,0,0,186,0
2023,16,15,672,51.69,139.7,77,18,6,0,92*,6,0,0.0,0.0,0.0,,92,1,0,0,186,0
2025,6,6,156,26.0,131.09,17,4,2,0,69,2,0,0.0,0.0,0.0,,69,0,0,0,186,0
2008,2,2,13,6.5,100.0,1,0,0,0,9,0,0,0.0,0.0,0.0,,9,0,0,0,187,0
2022,7,7,161,23.0,142.47,14,11,0,0,49,3,1,8.0,16.0,3.0,8/1,49,0,8,1,188,0
2024,3,3,69,23.0,116.94,3,5,0,0,46,1,0,0.0,0.0,0.0,,46,0,0,0,188,0
2025,6,6,225,37.5,180.0,13,17,2,0,57,6,0,0.0,0.0,0.0,,57,0,0,0,188,0
2026,11,8,151,18.88,127.96,8,10,0,0,44,12,0,0.0,0.0,0.0,,44,0,0,0,188,0
2008,10,1,2,0.0,12.5,0,0,0,0,2*,0,11,21.45,8.0,16.09,4/14,2,1,4,14,189,0
2009,8,4,9,4.5,52.94,0,0,0,0,7*,0,5,41.2,7.92,31.2,4/14,7,1,4,14,189,0
2010,0,0,0,0.0,0.0,0,0,0,0,0,0,1,40.0,10.0,24.0,4/14,0,0,4,14,189,1
2011,6,2,2,2.0,50.0,0,0,0,0,2,0,5,29.8,7.45,24.0,4/14,2,0,4,14,189,0
2012,2,1,10,0.0,200.0,2,0,0,0,10*,0,6,10.66,8.0,8.0,4/14,10,1,4,14,189,0
2013,0,0,0,0.0,0.0,0,0,0,0,0,0,8,18.87,8.08,14.0,4/14,0,0,4,14,189,1
2014,8,2,35,0.0,140.0,1,2,0,0,28*,0,6,36.83,8.18,27.0,4/14,28,1,4,14,189,0
2015,11,2,4,2.0,36.36,0,0,0,0,3,0,13,21.3,7.91,16.15,4/14,3,0,4,14,189,0
2016,14,5,23,11.5,153.33,2,0,0,0,6*,0,18,20.22,7.42,16.33,4/14,6,1,4,14,189,0
2017,6,1,1,1.0,50.0,0,0,0,0,1,0,3,57.66,9.18,37.66,4/14,1,0,4,14,189,0
2018,8,2,6,6.0,85.71,0,0,0,0,3*,0,4,47.0,9.47,29.75,4/14,3,1,4,14,189,0
2019,10,1,5,0.0,166.66,1,0,0,0,5*,0,6,55.83,9.57,35.0,4/14,5,1,4,14,189,0
2020,1,1,3,0.0,150.0,0,0,0,0,3*,0,0,0.0,0.0,0.0,,3,1,0,0,189,0
2023,13,11,152,21.71,172.72,11,9,0,0,34*,1,0,0.0,0.0,0.0,,34,1,0,0,190,0
2024,15,11,195,24.38,138.29,18,7,2,0,56*,11,0,0.0,0.0,0.0,,56,1,0,0,190,0
2025,14,13,333,37.0,156.33,22,22,2,0,70,7,0,0.0,0.0,0.0,,70,0,0,0,190,0
2026,16,16,515,36.79,154.65,47,24,6,0,81*,18,0,0.0,0.0,0.0,,81,1,0,0,190,0
2018,1,1,8,8.0,88.88,0,1,0,0,8,0,0,0.0,0.0,0.0,,8,0,0,0,191,0
2019,1,1,5,5.0,62.5,0,0,0,0,5,0,0,0.0,0.0,0.0,,5,0,0,0,191,0
2025,13,2,1,1.0,33.33,0,0,0,0,1,3,14,30.64,8.25,22.28,30/2,1,0,30,2,192,0
2026,10,2,2,0.0,40.0,0,0,0,0,2*,4,5,79.4,10.17,46.8,45/2,2,1,45,2,192,0
2008,5,1,2,0.0,200.0,0,0,0,0,2*,0,10,16.0,8.0,12.0,4/18,2,1,4,18,193,0
2010,5,1,2,0.0,100.0,0,0,0,0,2*,0,7,19.71,7.26,16.28,4/18,2,1,4,18,193,0
2009,2,1,10,10.0,76.92,0,0,0,0,10,0,4,14.0,8.0,10.5,3/32,10,0,3,32,194,0
2026,0,0,0,0.0,0.0,0,0,0,0,0,0,1,36.0,9.0,24.0,36/1,0,0,36,1,195,1
2008,1,1,9,9.0,112.5,0,1,0,0,9,0,2,14.5,7.25,12.0,5/25,9,0,5,25,196,0
2009,5,4,39,9.75,100.0,4,0,0,0,27,0,6,22.0,6.82,19.33,5/25,27,0,5,25,196,0
2010,2,2,12,12.0,120.0,0,0,0,0,9*,0,4,16.25,8.12,12.0,5/25,9,1,5,25,196,0
2012,4,3,14,4.66,87.5,1,0,0,0,9,0,7,15.0,6.56,13.71,5/25,9,0,5,25,196,0
2013,1,1,5,0.0,100.0,0,0,0,0,5*,0,0,0.0,0.0,0.0,,5,1,0,0,196,0
2008,13,8,145,24.16,135.51,13,4,1,0,56*,0,0,0.0,0.0,0.0,,56,1,0,0,197,0
2010,14,14,278,21.38,117.29,26,6,1,0,69,0,0,0.0,0.0,0.0,,69,0,0,0,197,0
2011,14,13,282,25.63,128.18,32,7,1,0,69,0,0,0.0,0.0,0.0,,69,0,0,0,197,0
2012,17,14,238,18.3,111.73,30,2,0,0,44,0,0,0.0,0.0,0.0,,44,0,0,0,197,0
2013,19,19,510,28.33,124.08,54,14,2,0,86,0,0,0.0,0.0,0.0,,86,0,0,0,197,0
2014,14,14,325,23.21,125.96,28,11,3,0,69,0,0,0.0,0.0,0.0,,69,0,0,0,197,0
2015,16,11,141,12.81,120.51,15,4,0,0,28,0,0,0.0,0.0,0.0,,28,0,0,0,197,0
2016,16,15,335,25.76,125.93,38,3,3,0,53,0,0,0.0,0.0,0.0,,53,0,0,0,197,0
2017,14,13,361,36.1,139.38,30,11,2,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,197,0
2018,16,16,498,49.8,147.77,49,16,2,0,52,0,0,0.0,0.0,0.0,,52,0,0,0,197,0
2019,14,13,253,31.62,146.24,22,14,2,0,97*,0,0,0.0,0.0,0.0,,97,1,0,0,197,0
2020,14,14,169,14.08,126.11,20,4,1,0,58,0,0,0.0,0.0,0.0,,58,0,0,0,197,0
2021,17,15,223,22.3,131.17,22,7,0,0,40,0,0,0.0,0.0,0.0,,40,0,0,0,197,0
2022,16,16,330,55.0,183.33,27,22,1,0,66*,10,0,0.0,0.0,0.0,,66,1,0,0,197,0
2023,13,13,140,11.67,134.61,13,5,0,0,30,8,0,0.0,0.0,0.0,,30,0,0,0,197,0
2024,15,13,326,36.22,187.35,27,22,2,0,83,4,0,0.0,0.0,0.0,,83,0,0,0,197,0
2008,6,3,33,16.5,137.5,5,0,0,0,26*,0,1,78.0,9.95,47.0,1/21,26,1,1,21,198,0
2010,9,2,4,4.0,30.76,0,0,0,0,3,0,7,32.0,6.52,29.42,3/27,3,0,3,27,199,0
2011,0,0,0,0.0,0.0,0,0,0,0,0,0,2,15.5,7.75,12.0,3/27,0,0,3,27,199,1
2013,0,0,0,0.0,0.0,0,0,0,0,0,0,4,39.5,7.96,29.75,3/27,0,0,3,27,199,1
2011,7,4,16,16.0,72.72,1,0,0,0,10*,0,0,0.0,0.0,0.0,,10,1,0,0,200,0
2012,5,3,25,25.0,192.3,5,0,0,0,10*,0,0,0.0,0.0,0.0,,10,1,0,0,200,0
2013,12,9,125,15.62,130.2,17,2,0,0,34,0,0,0.0,0.0,0.0,,34,0,0,0,200,0
2014,1,1,4,0.0,66.66,0,0,0,0,4*,0,0,0.0,0.0,0.0,,4,1,0,0,200,0
2008,3,1,3,3.0,37.5,0,0,0,0,3,0,2,43.5,10.87,24.0,1/30,3,0,1,30,201,0
2008,6,4,39,19.5,73.58,2,2,0,0,30,0,3,13.33,5.71,14.0,2/7,30,0,2,7,202,0
2015,6,2,1,1.0,33.33,0,0,0,0,1,0,4,25.25,7.21,21.0,2/18,1,0,2,18,203,0
2024,2,2,8,4.0,72.72,0,0,0,0,7,2,0,0.0,0.0,0.0,,7,0,0,0,204,0
2025,1,1,1,1.0,33.33,0,0,0,0,1,0,0,0.0,0.0,0.0,,1,0,0,0,204,0
2026,15,13,317,35.22,179.09,25,23,2,0,69,13,1,41.0,13.66,18.0,14/1,69,0,14,1,204,0
2010,8,2,18,0.0,105.88,1,1,0,0,16*,0,12,17.25,6.67,15.5,4/13,16,1,4,13,205,0
2011,0,0,0,0.0,0.0,0,0,0,0,0,0,17,19.35,7.0,16.58,4/13,0,0,4,13,205,1
2012,6,1,3,3.0,60.0,0,0,0,0,3,0,8,19.62,8.72,13.5,4/13,3,0,4,13,205,0
2012,1,1,12,0.0,133.33,1,0,0,0,12*,0,3,10.66,8.0,8.0,3/32,12,1,3,32,206,0
2023,0,0,0,0.0,0.0,0,0,0,0,0,0,1,53.0,13.25,24.0,53/1,0,0,53,1,207,1
2022,12,8,43,10.75,153.57,3,3,0,0,17,2,9,42.66,8.72,29.33,17/2,17,0,17,2,208,0
2025,6,3,10,0.0,71.42,0,0,0,0,8*,1,4,42.75,11.4,22.5,24/1,8,1,24,1,208,0
2022,6,5,44,11.0,157.14,3,3,0,0,22,2,6,35.0,10.0,21.0,30/2,22,0,30,2,209,0
2008,7,6,109,18.16,132.92,10,5,0,0,40,0,1,19.0,9.5,12.0,1/19,40,0,1,19,210,0
2009,9,6,65,21.66,92.85,7,0,0,0,27,0,0,0.0,0.0,0.0,,27,0,0,0,210,0
2011,12,9,183,26.14,127.08,17,4,1,0,60,0,0,0.0,0.0,0.0,,60,0,0,0,210,0
2012,2,2,4,2.0,100.0,1,0,0,0,4,0,0,0.0,0.0,0.0,,4,0,0,0,210,0
2013,2,2,14,14.0,82.35,0,0,0,0,10,0,0,0.0,0.0,0.0,,10,0,0,0,210,0
2008,9,7,178,29.66,132.83,19,5,1,0,64*,0,11,21.09,8.14,15.54,4/22,64,1,4,22,211,0
2009,11,10,218,27.25,107.38,15,8,2,0,70*,0,11,23.54,7.8,18.09,4/22,70,1,4,22,211,0
2010,10,8,61,8.71,115.09,3,4,0,0,23,0,4,57.0,8.71,39.25,4/22,23,0,4,22,211,0
2011,6,2,11,11.0,183.33,1,1,0,0,6*,0,6,26.16,7.85,20.0,4/22,6,1,4,22,211,0
2012,19,16,371,46.37,140.53,20,20,0,0,48,0,15,30.73,7.99,23.06,4/22,48,0,4,22,211,0
2013,18,12,121,15.12,114.15,11,3,0,0,23*,0,32,15.53,7.95,11.71,4/22,23,1,4,22,211,0
2014,1,1,8,0.0,266.66,0,1,0,0,8*,0,0,0.0,0.0,0.0,,8,1,0,0,211,0
2015,17,14,195,21.66,131.75,22,5,1,0,62*,0,26,16.38,8.14,12.07,4/22,62,1,4,22,211,0
2016,15,13,99,12.37,120.73,11,1,0,0,22*,0,17,29.05,8.82,19.76,4/22,22,1,4,22,211,0
2018,16,10,141,35.25,154.94,8,10,1,0,68,0,14,38.07,9.96,22.92,4/22,68,0,4,22,211,0
2019,12,9,80,16.0,121.21,6,3,0,0,27,0,11,30.0,8.01,22.45,4/22,27,0,4,22,211,0
2020,6,2,7,3.5,116.66,0,0,0,0,7,0,6,30.0,8.57,21.0,4/22,7,0,4,22,211,0
2021,11,3,47,47.0,261.11,3,4,0,0,23,0,14,18.78,7.81,14.42,4/22,23,0,4,22,211,0
2022,10,6,23,11.5,95.83,1,1,0,0,12,3,16,18.68,8.7,12.87,20/3,12,0,20,3,211,0
2008,4,3,45,15.0,112.5,5,1,0,0,20,0,5,16.6,7.54,13.2,4/8,20,0,4,8,212,0
2009,8,8,215,26.87,162.87,12,15,0,0,49,0,1,124.0,8.85,84.0,4/8,49,0,4,8,212,0
2010,3,3,22,11.0,88.0,1,1,0,0,13*,0,1,36.0,9.39,23.0,4/8,13,1,4,8,212,0
2012,7,6,157,39.25,160.2,18,7,1,0,87*,0,2,47.5,7.3,39.0,4/8,87,1,4,8,212,0
2013,13,13,418,32.15,122.58,40,19,4,0,68,0,2,29.5,11.8,15.0,4/8,68,0,4,8,212,0
2014,16,16,566,35.37,136.05,50,34,5,0,79,0,4,23.75,9.5,15.0,4/8,79,0,4,8,212,0
2015,16,16,399,24.93,119.1,52,16,2,0,62,0,1,17.0,8.5,12.0,4/8,62,0,4,8,212,0
2016,12,12,324,29.45,146.6,35,16,3,0,73,0,8,19.12,8.5,13.5,4/8,73,0,4,8,212,0
2017,12,12,239,21.72,153.2,32,8,2,0,74,0,2,74.0,11.38,39.0,4/8,74,0,4,8,212,0
2016,4,2,24,12.0,171.42,2,2,0,0,19,0,0,0.0,0.0,0.0,,19,0,0,0,213,0
2010,6,4,35,11.66,116.66,2,1,0,0,17,0,0,0.0,0.0,0.0,,17,0,0,0,214,0
2011,12,9,137,15.22,117.09,17,3,1,0,66,0,0,0.0,0.0,0.0,,66,0,0,0,214,0
2013,14,13,307,27.9,127.91,28,13,1,0,51,0,0,0.0,0.0,0.0,,51,0,0,0,214,0
2015,9,9,187,23.37,123.84,11,11,1,0,63,0,0,0.0,0.0,0.0,,63,0,0,0,214,0
2016,7,6,123,24.6,117.14,8,4,1,0,51,0,0,0.0,0.0,0.0,,51,0,0,0,214,0
2017,4,4,65,16.25,104.83,6,2,0,0,26,0,0,0.0,0.0,0.0,,26,0,0,0,214,0
2020,14,14,418,41.8,138.41,32,24,1,0,68*,0,0,0.0,0.0,0.0,,68,1,0,0,214,0
2021,17,16,133,11.08,95.68,8,6,0,0,47*,0,0,0.0,0.0,0.0,,47,1,0,0,214,0
2025,0,0,0,0.0,0.0,0,0,0,0,0,0,13,18.3,8.92,12.3,31/3,0,0,31,3,215,1
2026,15,3,7,7.0,41.17,0,0,0,0,5,4,20,25.35,9.33,16.3,32/4,5,0,32,4,215,0
2018,13,13,382,29.38,138.4,32,24,2,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,216,0
2019,3,3,48,16.0,92.3,4,2,0,0,32,0,0,0.0,0.0,0.0,,32,0,0,0,216,0
2021,5,5,151,30.2,162.36,18,7,1,0,58,0,0,0.0,0.0,0.0,,58,0,0,0,216,0
2022,6,5,73,24.33,130.35,8,3,1,0,55*,3,0,0.0,0.0,0.0,,55,1,0,0,216,0
2021,4,3,6,6.0,50.0,0,0,0,0,6,0,1,90.0,8.18,66.0,1/22,6,0,1,22,217,0
2022,1,1,8,8.0,114.28,1,0,0,0,8,0,1,46.0,11.5,24.0,46/1,8,0,46,1,217,0
2022,16,16,468,31.2,127.52,49,13,3,0,96,4,0,0.0,0.0,0.0,,96,0,0,0,218,0
2023,14,14,730,56.15,153.68,60,36,8,0,84,3,0,0.0,0.0,0.0,,84,0,0,0,218,0
2024,15,15,438,29.2,161.62,47,21,4,0,64,8,0,0.0,0.0,0.0,,64,0,0,0,218,0
2025,9,9,202,22.44,123.92,18,8,2,0,62,4,0,0.0,0.0,0.0,,62,0,0,0,218,0
2012,13,12,398,33.16,130.92,29,17,3,0,73,0,0,0.0,0.0,0.0,,73,0,0,0,219,0
2014,15,12,303,27.54,128.93,26,7,2,0,54*,0,0,0.0,0.0,0.0,,54,1,0,0,219,0
2015,17,15,380,29.23,125.0,37,5,1,0,55,0,0,0.0,0.0,0.0,,55,0,0,0,219,0
2016,6,6,206,34.33,127.16,17,9,2,0,69,0,0,0.0,0.0,0.0,,69,0,0,0,219,0
2017,2,1,8,8.0,114.28,1,0,0,0,8,0,0,0.0,0.0,0.0,,8,0,0,0,219,0
2018,6,6,162,32.4,125.58,17,6,1,0,67*,0,0,0.0,0.0,0.0,,67,1,0,0,219,0
2019,12,12,396,36.0,123.36,36,15,3,0,96,0,0,0.0,0.0,0.0,,96,0,0,0,219,0
2020,13,13,449,40.81,140.75,42,14,4,0,87*,0,0,0.0,0.0,0.0,,87,1,0,0,219,0
2021,16,16,633,45.21,138.2,60,23,6,0,95*,0,0,0.0,0.0,0.0,,95,1,0,0,219,0
2010,10,9,164,20.5,106.49,19,1,0,0,45,0,0,0.0,0.0,0.0,,45,0,0,0,220,0
2011,2,2,19,9.5,100.0,3,0,0,0,16,0,0,0.0,0.0,0.0,,16,0,0,0,220,0
2016,3,3,14,7.0,107.69,2,0,0,0,9*,0,0,0.0,0.0,0.0,,9,1,0,0,221,0
2022,3,1,2,0.0,25.0,0,0,0,0,2*,0,2,55.0,9.16,36.0,32/2,2,1,32,2,222,0
2023,4,1,1,0.0,20.0,0,0,0,0,1*,1,4,29.25,8.77,20.0,41/2,1,1,41,2,222,0
2025,5,1,2,0.0,100.0,0,0,0,0,2*,0,0,0.0,0.0,0.0,,2,1,0,0,222,0
2026,11,11,349,34.9,214.11,33,28,1,1,100*,1,0,0.0,0.0,0.0,,100,1,0,0,223,0
2008,0,0,0,0.0,0.0,0,0,0,0,0,0,3,47.0,10.07,28.0,1/33,0,0,1,33,224,1
2008,14,14,534,41.07,140.89,68,8,5,0,86,0,0,0.0,0.0,0.0,,86,0,0,0,225,0
2010,11,10,277,30.77,127.64,32,2,2,0,72,0,0,0.0,0.0,0.0,,72,0,0,0,225,0
2011,15,15,378,34.36,119.24,44,3,2,0,75*,0,0,0.0,0.0,0.0,,75,1,0,0,225,0
2012,17,17,590,39.33,143.55,64,17,6,0,93,0,0,0.0,0.0,0.0,,93,0,0,0,225,0
2013,16,16,406,25.37,118.36,51,5,4,0,60,0,0,0.0,0.0,0.0,,60,0,0,0,225,0
2014,16,16,335,22.33,114.33,36,4,3,0,69,0,0,0.0,0.0,0.0,,69,0,0,0,225,0
2015,13,13,327,25.15,117.62,41,4,3,0,60,0,0,0.0,0.0,0.0,,60,0,0,0,225,0
2016,15,15,501,38.53,121.89,54,6,5,0,90*,0,0,0.0,0.0,0.0,,90,1,0,0,225,0
2017,16,16,498,41.5,128.02,61,7,4,0,76*,0,0,0.0,0.0,0.0,,76,1,0,0,225,0
2018,6,5,85,17.0,96.59,8,1,1,0,55,0,0,0.0,0.0,0.0,,55,0,0,0,225,0
2009,3,2,45,22.5,115.38,7,0,0,0,30,0,0,0.0,0.0,0.0,,30,0,0,0,226,0
2010,1,1,18,18.0,66.66,2,0,0,0,18,0,0,0.0,0.0,0.0,,18,0,0,0,226,0
2014,17,16,257,28.55,135.26,19,10,0,0,40*,0,0,0.0,0.0,0.0,,40,1,0,0,226,0
2015,13,13,259,23.54,136.31,22,7,2,0,61*,0,0,0.0,0.0,0.0,,61,1,0,0,226,0
2016,6,5,84,21.0,85.71,9,2,0,0,34,0,0,0.0,0.0,0.0,,34,0,0,0,226,0
2021,5,3,2,2.0,50.0,0,0,0,0,2*,0,3,45.0,9.0,30.0,1/27,2,1,1,27,227,0
2026,3,3,31,10.33,147.61,6,0,0,0,16,0,1,55.0,8.91,37.0,18/1,16,0,18,1,228,0
2024,10,5,14,3.5,63.63,0,1,0,0,8,1,13,26.23,10.17,15.46,34/4,8,0,34,4,229,0
2025,4,2,17,8.5,154.54,2,1,0,0,12,2,2,65.5,10.91,36.0,10/1,12,0,10,1,229,0
2012,2,2,6,6.0,54.54,0,0,0,0,3*,0,1,22.0,7.33,18.0,2/15,3,1,2,15,230,0
2013,3,3,36,18.0,133.33,1,4,0,0,23,0,0,0.0,0.0,0.0,,23,0,0,0,230,0
2014,16,16,552,34.5,187.75,48,36,4,0,95,0,1,132.0,12.0,66.0,2/15,95,0,2,15,230,0
2015,11,11,145,13.18,129.46,13,8,0,0,43,0,2,48.5,9.7,30.0,2/15,43,0,2,15,230,0
2016,11,11,179,19.88,144.35,14,8,2,0,68,0,0,0.0,0.0,0.0,,68,0,0,0,230,0
2017,14,13,310,31.0,173.18,19,26,0,0,47,0,7,17.85,6.57,16.28,2/15,47,0,2,15,230,0
2018,12,12,169,14.08,140.83,14,9,0,0,47,0,5,26.4,8.25,19.2,2/15,47,0,2,15,230,0
2020,13,11,108,15.42,101.88,9,0,0,0,32,0,3,56.33,8.04,42.0,2/15,32,0,2,15,230,0
2021,15,14,513,42.75,144.1,48,21,6,0,78,0,3,45.0,8.43,32.0,2/15,78,0,2,15,230,0
2022,13,13,301,27.36,169.1,31,15,1,0,55,5,6,27.5,6.87,24.0,22/2,55,0,22,2,230,0
2023,14,14,400,33.33,183.48,29,31,5,0,77,4,3,31.33,9.09,20.66,3/1,77,0,3,1,230,0
2024,10,9,52,5.78,120.93,6,2,0,0,28,3,6,21.5,8.06,16.0,23/2,28,0,23,2,230,0
2025,7,6,48,8.0,97.95,5,1,0,0,30,5,4,27.5,8.46,19.5,5/1,30,0,5,1,230,0
2008,14,3,4,4.0,80.0,1,0,0,0,4*,0,12,29.75,6.61,27.0,4/29,4,1,4,29,231,0
2021,3,3,26,13.0,78.78,1,2,0,0,14*,0,1,20.0,10.0,12.0,1/17,14,1,1,17,232,0
2023,5,5,39,7.8,177.27,2,4,0,0,25,2,1,20.0,6.66,18.0,10/1,25,0,10,1,232,0
2026,6,5,67,16.75,124.07,4,2,0,0,25,8,0,0.0,0.0,0.0,,25,0,0,0,232,0
2008,11,11,441,49.0,121.82,54,8,3,0,91,0,0,0.0,0.0,0.0,,91,0,0,0,233,0
2009,12,12,212,19.27,98.14,27,1,1,0,77,0,0,0.0,0.0,0.0,,77,0,0,0,233,0
2010,2,2,44,22.0,112.82,7,0,0,0,26,0,0,0.0,0.0,0.0,,26,0,0,0,233,0
2011,4,4,42,10.5,82.35,6,0,0,0,24,0,0,0.0,0.0,0.0,,24,0,0,0,233,0
2009,1,1,15,15.0,93.75,1,0,0,0,15,0,1,27.0,6.75,24.0,1/27,15,0,1,27,234,0
2024,2,1,19,19.0,126.66,1,1,0,0,19,1,0,0.0,0.0,0.0,,19,0,0,0,235,0
2015,0,0,0,0.0,0.0,0,0,0,0,0,0,1,82.0,10.25,48.0,1/33,0,0,1,33,236,1
2026,0,0,0,0.0,0.0,0,0,0,0,0,0,4,58.25,9.25,37.75,7/1,0,0,7,1,237,1
2012,5,4,86,28.66,165.38,12,2,0,0,29*,0,0,0.0,0.0,0.0,,29,1,0,0,238,0
2013,11,9,108,13.5,113.68,10,3,0,0,31,0,0,0.0,0.0,0.0,,31,0,0,0,238,0
2015,5,5,35,7.0,89.74,3,1,0,0,15,0,3,22.0,7.33,18.0,2/15,15,0,2,15,238,0
2016,7,6,113,22.6,131.39,11,3,1,0,51,0,2,15.5,7.75,12.0,2/15,51,0,2,15,238,0
2019,3,3,98,32.66,140.0,11,2,1,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,238,0
2020,8,5,71,0.0,88.75,8,0,0,0,21*,0,0,0.0,0.0,0.0,,21,1,0,0,238,0
2008,1,1,2,2.0,40.0,0,0,0,0,2,0,0,0.0,0.0,0.0,,2,0,0,0,239,0
2013,17,17,241,17.21,86.69,17,1,0,0,46,0,1,38.0,6.33,36.0,1/5,46,0,1,5,240,0
2015,5,4,39,9.75,111.42,6,0,0,0,16,0,0,0.0,0.0,0.0,,16,0,0,0,240,0
2019,2,2,4,2.0,50.0,0,0,0,0,2,0,0,0.0,0.0,0.0,,2,0,0,0,240,0
2008,3,3,30,15.0,176.47,1,3,0,0,28,0,5,16.4,8.2,12.0,5/18,28,0,5,18,241,0
2009,13,10,84,10.5,158.49,6,5,0,0,20,0,12,21.33,5.81,22.0,5/18,20,0,5,18,241,0
2010,15,7,105,26.25,166.66,12,5,0,0,49*,0,17,22.17,7.04,18.88,5/18,49,1,5,18,241,0
2011,15,8,103,34.33,145.07,9,6,0,0,30,0,14,26.42,6.98,22.71,5/18,30,0,5,18,241,0
2012,17,11,108,12.0,135.0,14,3,0,0,33,0,6,64.0,7.11,54.0,5/18,33,0,5,18,241,0
2013,19,14,116,19.33,146.83,12,5,0,0,25*,0,24,19.0,6.51,17.5,5/18,25,1,5,18,241,0
2014,14,7,28,5.6,112.0,2,2,0,0,10*,0,14,25.42,6.47,23.57,5/18,10,1,5,18,241,0
